pair_id,frame,zh_tokens,en_tokens,gap,within_20pct
CUL-01,CUL,31,33,0.061,True
CUL-02,CUL,26,25,0.038,True
ECON-01,ECON,20,18,0.1,True
ECON-02,ECON,25,22,0.12,True
GEO-01,GEO,30,30,0.0,True
GEO-02,GEO,22,23,0.043,True
HIST-01,HIST,23,22,0.043,True
HIST-02,HIST,20,23,0.13,True
LIFE-01,LIFE,27,33,0.182,True
LIFE-02,LIFE,25,26,0.038,True
POL-DOM-01,POL-DOM,30,25,0.167,True
POL-DOM-02,POL-DOM,25,20,0.2,True
POL-INT-01,POL-INT,23,23,0.0,True
POL-INT-02,POL-INT,21,23,0.087,True
TRAV-01,TRAV,26,26,0.0,True
TRAV-02,TRAV,24,23,0.042,True
